,SPY_BuyHold,A_52W_High_Contrarian,B_Price_SMA200,C_12M_Losers,D_Value_Momentum
2014-06-30,0.02064477220684946,0.10614099315910792,0.07803813867365365,0.045366615729147464,0.057205541737760025
2014-07-31,-0.013437558507156333,-0.06581553297482937,-0.0027742126705844862,0.015997641081365387,-0.052226621573488605
2014-08-31,0.039463648090512615,0.053599555997550105,0.03843416373370738,-0.012739011270348577,0.03770837163989438
2014-09-30,-0.013796568180659996,-0.08517069509003812,-0.05627018427666106,-0.042301067887658486,-0.06284072651437642
2014-10-31,0.023550848828567394,-0.08823252675092774,-0.08823252675092774,-0.04351885691296551,0.007789853775173628
2014-11-30,0.02747226519061652,0.014300350193467936,-0.04039845912457909,0.003659266233697833,0.013946270959334562
2014-12-31,-0.00253678485169917,-0.11809431756653081,-0.05746233249280297,-0.03031314278538677,0.0040784091009018475
2015-01-31,-0.029629313089237552,-0.06192099603597305,-0.013816025352029105,0.023775846519060596,-0.0022101763147546636
2015-02-28,0.056204621182660786,0.0826559488099456,0.08887452624508559,0.07480976315887544,0.07837724291331032
2015-03-31,-0.015705684666528996,-0.07537242893841259,-0.05572612466318625,-0.06028561359297455,-0.0021768823641847403
2015-04-30,0.009833815536024915,0.09075768239855161,0.09624781297529761,0.044982432167143684,0.038882925568166436
2015-05-31,0.012856357570702803,-0.008284701344333723,0.016746119650669057,-0.019460744985457624,0.0015906115993452375
2015-06-30,-0.020312173198664518,0.03959435327497647,-0.001216143784507362,-0.006256646791879738,-0.0034713277050383517
2015-07-31,0.0225893597258211,-0.13931785180941852,-0.14205698956896057,-0.13931785180941852,-0.017970611344058196
2015-08-31,-0.060949935504292396,-0.037278465925144964,-0.037278465925144964,-0.030053010995904274,-0.023843231813175603
2015-09-30,-0.02551622144487664,-0.08139913648161692,-0.07049855724353074,-0.0806641552919601,-0.0409301248253318
2015-10-31,0.08505952852373388,0.07079880808284109,0.10046308082467115,0.06842108166181027,0.08388669831620361
2015-11-30,0.0036551722756337224,-0.06232306576726767,-0.06797519267315981,-0.030104141063217994,0.0339459193085486
2015-12-31,-0.017282544513751552,-0.005806340378646535,-0.04952450674678166,0.013354418153813729,0.012767035206175592
2016-01-31,-0.04978651178357818,-0.08935576215005274,-0.059441389573029024,-0.15163073079966832,-0.020007011177020327
2016-02-29,-0.0008262982738813651,-0.04987787258690204,-0.030666383341131455,-0.044993655056008316,0.022371815481183187
2016-03-31,0.06726659650980471,0.11257232530545451,0.1450015005679178,0.11694632347204474,0.14531337355575116
