entry_date,exit_date,entry_price,exit_price,trade_return,hold_days,exit_reason,strategy,symbol
2020-03-27,2020-03-30,35.7599983215332,33.84000015258789,-0.05369122648389968,1,stop,RSI14_Stocks,USO
2020-03-18,2020-04-01,11.210000038146973,13.020000457763672,0.16146301636551064,10,max_hold,RSI14_Stocks,SLV
2020-03-18,2020-04-01,9.220000267028809,11.33899974822998,0.2298264012831781,10,max_hold,RSI14_Stocks,MSTR
2020-03-18,2020-04-01,9.305683135986328,10.958062171936035,0.1775666559674416,10,max_hold,RSI14_Stocks,XLE
2020-03-30,2020-04-14,33.84000015258789,37.279998779296875,0.10165480529544002,10,max_hold,RSI14_Stocks,USO
2020-04-20,2020-04-21,30.0,22.479999542236328,-0.2506666819254557,1,stop,RSI14_Stocks,USO
2020-04-21,2020-04-22,22.479999542236328,20.079999923706055,-0.10676155104100682,1,stop,RSI14_Stocks,USO
2020-04-22,2020-04-27,20.079999923706055,17.520000457763672,-0.12749001372854074,3,stop,RSI14_Stocks,USO
2020-04-27,2020-05-11,17.520000457763672,21.170000076293945,0.20833330611660128,10,max_hold,RSI14_Stocks,USO
2020-06-25,2020-07-06,35.959999084472656,42.84000015258789,0.1913237275661106,6,rsi_exit,RSI14_Stocks,UNG
2020-09-08,2020-09-17,26.75,29.229999542236328,0.09271026326117116,7,rsi_exit,RSI14_Stocks,USO
2020-09-03,2020-09-18,34.8251838684082,33.85569763183594,-0.02783865378099948,10,max_hold,RSI14_Stocks,CSCO
2020-09-10,2020-09-23,13.095684051513672,12.339041709899902,-0.05777799301185127,9,stop,RSI14_Stocks,XLE
2020-09-21,2020-09-29,12.193750381469727,13.1537504196167,0.07872885766185922,6,rsi_exit,RSI14_Stocks,ANET
2020-09-21,2020-10-05,33.20085906982422,33.103702545166016,-0.0029263256247037406,10,max_hold,RSI14_Stocks,CSCO
2020-09-23,2020-10-07,12.339041709899902,12.318618774414062,-0.0016551476172945723,10,max_hold,RSI14_Stocks,XLE
2020-10-22,2020-11-04,133.43067932128906,137.0015411376953,0.026761924877920507,9,rsi_exit,RSI14_Stocks,TLT
2020-10-27,2020-11-09,31.644628524780273,32.78615188598633,0.036073210981514725,9,rsi_exit,RSI14_Stocks,CSCO
2020-10-28,2020-11-11,51.71463394165039,53.2123908996582,0.028961956101202002,10,max_hold,RSI14_Stocks,ORCL
2020-11-27,2020-12-07,167.7899932861328,174.88999938964844,0.04231483632881461,6,rsi_exit,RSI14_Stocks,GLD
2020-12-07,2020-12-21,35.119998931884766,38.959999084472656,0.10933941541500536,10,max_hold,RSI14_Stocks,UNG
2021-01-14,2021-01-20,243.93603515625,265.6245422363281,0.08891063210970795,3,rsi_exit,RSI14_Stocks,META
2021-01-07,2021-01-22,129.38369750976562,129.44334411621094,0.00046100557947648113,10,max_hold,RSI14_Stocks,TLT
2021-02-05,2021-02-22,126.30835723876953,121.31673431396484,-0.03951934008110547,10,max_hold,RSI14_Stocks,TLT
2021-02-22,2021-03-08,121.31673431396484,117.74658203125,-0.029428357949987105,10,max_hold,RSI14_Stocks,TLT
2021-02-22,2021-03-08,109.90141296386719,106.97161102294922,-0.026658455627692534,10,max_hold,RSI14_Stocks,LQD
2021-02-25,2021-03-11,76.06706237792969,76.13056945800781,0.0008348827743944742,10,max_hold,RSI14_Stocks,SHY
2021-02-25,2021-03-11,17.516250610351562,17.2237491607666,-0.016698861879271165,10,max_hold,RSI14_Stocks,ANET
