date,Mom 3M Top3,Mom 3M Top5,Mom 3M Top10,Mom 6M Top3,Mom 6M Top5,Mom 6M Top10,Mom 12M Top3,Mom 12M Top5,Mom 12M Top10,SPY Buy & Hold
2013-03-31,0.0011648393042516722,0.006227484528756168,0.025779345624553196,0.014846507562212138,0.014105560140588325,0.01890753610898912,0.005873212584720659,0.02329432138360228,0.026528183085179437,0.03797116492885655
2013-04-30,-0.021955558954866818,0.012834680838161661,0.05376409177220274,0.17695779477840498,0.12782309969920316,0.07881515397197165,0.014477707024735722,0.026167418420963665,0.022763499590281677,0.019212749943858798
2013-05-31,0.25814922179328575,0.15102313682593083,0.10267549775822898,0.383880360520845,0.25160051489228474,0.14517788664327577,0.2570828002477107,0.1787518187769564,0.09976524293453655,0.02360910073784317
2013-06-30,0.03529486950431807,0.010051883782531414,-0.00017150633440241524,0.03529486950431807,0.01883142935171014,0.003029342908145527,0.038607538121709396,0.01585375193666745,-0.00706962148600263,-0.01334397980166746
2013-07-31,0.03219811675076149,0.03636714319334444,0.029862967476590795,0.03219811675076149,0.03812770993507584,0.035542373435872625,0.10595975938576996,0.08132865717832546,0.06542603155543707,0.051676789896772934
2013-08-31,0.09582596992987454,0.038255905651599996,0.0051726992259086176,0.03231112074832439,-0.008663644858654939,-0.002334500677416784,0.09649263659654121,0.03844359359086809,0.0007005409395209221,-0.029992689635302994
2013-09-30,0.1054528702743541,0.07532000124286323,0.06385520923594583,0.1746186368069012,0.12039863986575955,0.07201617116023762,0.14748283903629283,0.09785087354135445,0.06354649203701102,0.031646409984876334
2013-10-31,-0.0846728907442564,0.0036113166626375428,0.02360242386712316,-0.0988796458197035,-0.08023140962620627,-0.006568382264872241,-0.08400622407758973,-0.04046153771919774,-0.010161386243954384,0.0463067393212202
2013-11-30,-0.007657253136009141,-0.029177774075029857,-0.013998504756644293,-0.09511405778260884,-0.02957777407502986,0.005985188998532688,-0.06003782402271629,-0.014935958065073616,-0.001170213189862978,0.029637857972812043
2013-12-31,0.009153513159656365,0.039265246891479165,0.03757271629108587,0.044098942720030974,0.06501617764236754,0.06180758273531772,0.13586274780450883,0.09568109099182273,0.04398482140852356,0.025926465141608235
2014-01-31,-0.005167106533140194,-0.022289338956712656,-0.0012704429174019145,0.018706445200929973,-0.0040588026340584,0.008695228659781352,0.1273828145027429,0.03357983413100481,0.036849033384625134,-0.03524841891628161
2014-02-28,0.07769302573694066,0.0783307943406065,0.0909956777044008,0.09144924164065751,0.13023960745212795,0.08578363332117274,0.17718653442394677,0.13762689955281018,0.08942004640666128,0.045516034492511404
2014-03-31,-0.07473573375203883,-0.078571276268333,-0.041833498052641416,-0.07406906708537216,-0.082272483921711,-0.06326170643541652,-0.07406906708537216,-0.08617576238831522,-0.03912679443348018,0.008295190768470295
